company_id,company_name,industry,size_range,hq_location
859,Gucci,Retail Luxury Goods and Jewelry,1000+,"Casellina di Scandicci, Florence, IT"
860,MSA - The Safety Company,Public Safety,501-1000,"Cranberry Township, Pennsylvania, US"
861,Norfolk Southern,Truck Transportation,1000+,"Atlanta, Georgia, US"
862,Live Nation Entertainment,Entertainment Providers,1000+,"Beverly Hills, California, US"
863,dunnhumby,Advertising Services,501-1000,"Brook Green, London, GB"
864,AMERICAN SYSTEMS,IT Services and IT Consulting,501-1000,"Chantilly, VA, US"
865,HOK,Architecture and Planning,501-1000,"New York, NY, US"
866,Gibson Dunn,Law Practice,501-1000,"Global, 0, US"
867,Marathon Oil Corporation,Oil and Gas,501-1000,"Houston, Texas, US"
868,Pro Staff,Staffing and Recruiting,11-50,"Cincinnati, Ohio, US"
869,Eisai US,Pharmaceutical Manufacturing,501-1000,"Nutley, NJ, US"
870,Worley,IT Services and IT Consulting,1000+,"North Sydney, NSW, AU"
871,Hollister Incorporated,Medical Equipment Manufacturing,501-1000,"Libertyville, Illinois, US"
872,Rockstar Games,Computer Games,501-1000,"New York, New York, US"
873,ClubCorp,Hospitality,1000+,"Dallas, Texas, US"
874,Enbridge,Oil and Gas,1000+,"Calgary, AB, CA"
875,Pall Corporation,Manufacturing,501-1000,"Port Washington, New York, US"
876,MSNBC,Broadcast Media Production and Distribution,201-500,"New York, New York, US"
877,J.Crew,Retail Apparel and Fashion,501-1000,"New York, New York, US"
878,WVU Medicine,Hospitals and Health Care,1000+,"Morgantown, WV, US"
879,Philadelphia Housing Authority,Real Estate,501-1000,"Philadelphia, Pennsylvania, US"
880,Austin Independent School District,Primary and Secondary Education,1000+,"Austin, Texas, US"
881,Incyte,Pharmaceutical Manufacturing,501-1000,"Wilmington, Delaware, US"
882,Premier Inc.,Hospitals and Health Care,501-1000,"Charlotte, NC, US"
883,B. Braun Medical Inc. (US),Medical Equipment Manufacturing,1000+,"Bethlehem, PA, US"
884,MultiPlan,Hospitals and Health Care,501-1000,"New York, NY, US"
885,Sirva,Real Estate,501-1000,"Oakbrook Terrace, Illinois, US"
886,Tulane University,Higher Education,501-1000,"New Orleans, LA, US"
887,SEPHORA,Retail,1000+,"Neuilly sur Seine, Ile de France, FR"
888,Southern Glazer's Wine & Spirits,Beverage Manufacturing,1000+,"Miami, Florida, US"
889,Bitdefender,Software Development,501-1000,"Bucuresti, Romania, RO"
890,Milliken & Company,Industrial Machinery Manufacturing,501-1000,"Spartanburg, South Carolina, US"
891,Highmark Inc.,Insurance,1000+,"Pittsburgh, Pennsylvania, US"
892,AEG,Entertainment Providers,1000+,"Los Angeles, CA, US"
893,Devon Energy,Oil and Gas,501-1000,"Oklahoma City, Oklahoma, US"
894,Dice,Software Development,501-1000,"Centennial, Colorado, US"
895,Simpson Thacher & Bartlett LLP,Law Practice,501-1000,"New York, NY, US"
896,Marriott Vacations Worldwide,Hospitality,1000+,"Orlando, FL, US"
897,Vertex Pharmaceuticals,Biotechnology Research,501-1000,"Boston, MA, US"
898,Align Technology,Medical Equipment Manufacturing,1000+,"Tempe, Arizona, US"
899,Hennepin County,Government Administration,501-1000,"Minneapolis, Minnesota, US"
900,American Residential Services,Consumer Services,501-1000,"Memphis, TN, US"
901,Delta Dental Ins.,Insurance,501-1000,"San Francisco, California, US"
902,American Institutes for Research,Research Services,501-1000,"Arlington, Virginia, US"
903,BJC HealthCare,Hospitals and Health Care,1000+,"St. Louis, MO, US"
904,RITE AID,Retail,1000+,"Philadelphia, Pennsylvania, US"
905,The Depository Trust & Clearing Corporation (DTCC),Financial Services,501-1000,"Jersey City, NJ, US"
906,Strategic Staffing Solutions,IT Services and IT Consulting,501-1000,"Detroit, MI, US"
907,Akin Gump Strauss Hauer & Feld LLP,Law Practice,501-1000,"0, 0, US"
908,Holland & Knight LLP,Law Practice,501-1000,"Miami, Florida, US"
909,Hibu,Advertising Services,501-1000,"Cedar Rapids, Iowa, US"
910,InterSystems,Software Development,501-1000,"Cambridge, MA, US"
911,Benchmark,Computers and Electronics Manufacturing,1000+,"Tempe, Arizona, US"
912,Federal Deposit Insurance Corporation (FDIC),Banking,501-1000,"Washington, DC, US"
913,Carnival Corporation,Travel Arrangements,1000+,"Miami, FL, US"
914,Intertek,International Trade and Development,1000+,"London, 0, GB"
915,Baird,Financial Services,501-1000,"Milwaukee, WI, US"
916,Indotronix International Corporation,Staffing and Recruiting,501-1000,"Rochester, NY, US"
917,International SOS,Hospitals and Health Care,1000+,"Singapore, 0, SG"
918,Columbia Sportswear Company,Retail Apparel and Fashion,501-1000,"Portland, Oregon, US"
919,CoStar Group,Real Estate,501-1000,"Washington, DC, US"
920,"Ross Stores, Inc.",Retail,1000+,"Dublin, CA, US"
921,IEEE,Non-profit Organizations,1000+,"Piscataway, NJ, US"
922,Response Companies,Staffing and Recruiting,1-10,"New York, NY, US"
923,Rohde & Schwarz,Telecommunications,1000+,"München, Bayern, DE"
924,Mercy,Hospitals and Health Care,1000+,"St Louis, MO, US"
925,State of Tennessee,Government Administration,1000+,"0, 0, US"
926,Meijer,Retail,1000+,"Grand Rapids, Michigan, US"
927,American Medical Association,Non-profit Organizations,501-1000,"Chicago, IL, US"
928,Auburn University,Higher Education,501-1000,"Auburn, AL, US"
929,RS,Truck Transportation,501-1000,"London, England, GB"
930,SGK,Advertising Services,501-1000,"Des Plaines, Illinois, US"
931,Tag,Media Production,501-1000,"London, London, GB"
932,"Spectrum Brands, Inc",Manufacturing,501-1000,"Middleton, WI, US"
933,Nature Portfolio,Book and Periodical Publishing,201-500,"London, Greater London, GB"
934,NRG Energy,Consumer Services,1000+,"Houston, Texas, US"
935,American Bar Association,Law Practice,201-500,"Chicago, IL, US"
936,NYS Department of Transportation,Civil Engineering,501-1000,"Albany, NY, US"
937,The University of Texas at San Antonio,Higher Education,501-1000,"San Antonio, TX, US"
938,Fred Hutch,Hospitals and Health Care,501-1000,"Seattle, WA, US"
939,"PDS Tech Commercial, Inc.",Staffing and Recruiting,501-1000,"Irving, Texas, US"
940,Plastic Omnium,Motor Vehicle Manufacturing,1000+,"Levallois-Perret, Ile-de-France, FR"
941,Gates Corporation,Automation Machinery Manufacturing,1000+,"Denver, Colorado, US"
942,Acuity Brands,"Appliances, Electrical, and Electronics Manufacturing",1000+,"Atlanta, Georgia, US"
943,CEI,IT Services and IT Consulting,201-500,"Pittsburgh, Pennsylvania, US"
944,Bekaert,Manufacturing,1000+,"Zwevegem, West-Vlaanderen, BE"
945,Norton Rose Fulbright,Law Practice,501-1000,"London, 0, GB"
946,Jostens,Manufacturing,501-1000,"Minneapolis, Minnesota, US"
947,CHS Inc.,Food and Beverage Manufacturing,1000+,"Minnesota, 55077, US"
948,Publix Super Markets,Retail,1000+,"Lakeland, Florida, US"
949,The Johns Hopkins University Applied Physics Laboratory,Defense and Space Manufacturing,501-1000,"Laurel, Maryland, US"
950,Mott MacDonald,Civil Engineering,1000+,"Croydon, London, GB"
951,University of New Hampshire,Higher Education,501-1000,"Durham, New Hampshire, US"
952,Brown-Forman,Beverage Manufacturing,501-1000,"Louisville, KY, US"
953,Planview,Software Development,501-1000,"Austin, TX, US"
954,Sonoco,Packaging and Containers Manufacturing,1000+,"Hartsville, SC, US"
955,Academy of Art University,Higher Education,501-1000,"San Francisco, ca, US"
956,Sunrise Senior Living,Hospitals and Health Care,1000+,"McLean, Virginia, US"
957,Essendant,Wholesale,501-1000,"Deerfield, IL, US"
958,Mizuho,Financial Services,1000+,"Tokyo, Japan, JP"
959,TC Transcontinental,Packaging and Containers Manufacturing,501-1000,"Montreal, Quebec, CA"
960,Fordham University,Higher Education,501-1000,"New York, NY, US"
961,Linedata,Software Development,501-1000,"Neuilly sur Seine, Paris, FR"
962,Orica,Mining,1000+,"East Melbourne, Victoria, AU"
963,Huxley,Staffing and Recruiting,51-200,"London, England, GB"
964,Blue Cross Blue Shield of Michigan,Insurance,501-1000,"Detroit, Michigan, US"
965,Domino's,Restaurants,1000+,"Ann Arbor, MI, US"
966,The Leukemia & Lymphoma Society,Non-profit Organizations,501-1000,"Rye Brook, NY, US"
967,Crane Aerospace & Electronics,Aviation and Aerospace Component Manufacturing,501-1000,"Lynnwood, Washington, US"
968,The Carlyle Group,Financial Services,501-1000,"Washington, DC, US"
969,CSL,Biotechnology Research,1000+,"Melbourne, Victoria, AU"
970,TEAM LEWIS,Advertising Services,201-500,"London, England, GB"
971,Xcel Energy,Utilities,1000+,"Minneapolis, Minnesota, US"
972,AutoZone,Retail,1000+,"Memphis, TN, US"
973,Boston Medical Center (BMC),Hospitals and Health Care,501-1000,"Boston, MA, US"
974,NETGEAR,Software Development,501-1000,"San Jose, California, US"
975,"Woodward, Inc.",Aviation and Aerospace Component Manufacturing,501-1000,"Fort Collins, CO, US"
976,"UHY LLP, Certified Public Accountants",Accounting,501-1000,"New York, NY, US"
977,Brown & Brown Insurance,Insurance,1000+,"Daytona Beach, Florida, US"
978,"Vishay Intertechnology, Inc.","Appliances, Electrical, and Electronics Manufacturing",1000+,"Malvern, Pennsylvania, US"
979,Priceline,"Technology, Information and Internet",501-1000,"Norwalk, CT, US"
980,Davis Polk & Wardwell LLP,Law Practice,501-1000,"New York, NY, US"
981,Dillard's Inc.,Retail,1000+,"Little Rock, AR, US"
982,Lonza,Pharmaceutical Manufacturing,1000+,"Basel, 0, CH"
983,FirstEnergy,Utilities,1000+,"Akron, OH, US"
984,GM Financial,Financial Services,501-1000,"Fort Worth, Texas, US"
985,Oakley,Retail Apparel and Fashion,501-1000,"Foothill Ranch, CA, US"
986,D.R. Horton,Construction,501-1000,"Arlington, TX, US"
987,RUSH University Medical Center,Hospitals and Health Care,1000+,"Chicago, Illinois, US"
988,Barry Callebaut Group,Food and Beverage Manufacturing,1000+,"Zurich, Zurich, CH"
989,Bulgari,Retail Luxury Goods and Jewelry,501-1000,"Rome, 0, IT"
990,Cedars-Sinai,Hospitals and Health Care,1000+,"Los Angeles, CA, US"
991,Illumina,Biotechnology Research,501-1000,"San Diego, CA, US"
992,Inova Health,Hospitals and Health Care,1000+,"Falls Church, Virginia, US"
993,Maryland State Highway Administration,Civil Engineering,501-1000,"Baltimore, Maryland, US"
